a.  un; una .  
ablation.  ablaci n .  
ablative.  ablativo .  
ablaut.  variaci nenlavocalprincipal .  
ablaze.  ardiendo; enllamas; resplandeciente .  
able.  capaz; h bil; diestro .  
able-bodied.  sano; robusto; v lido .  
abloom.  enflor; floreciente .  
ablush.  ruborizado .  
ablution.  abluci n .  
ably.  h bilmente; congranhabilidad; inteligentemente; bien .  
abnegate.  renunciar; negarsealgoas mismo; abjurar; eludir; evitar .  
abnegation.  renuncia .  
abnormal.  anormal; deforme .  
abnormality.  anormalidad; anomal a .  
abnormity.  anomal a; monstruosidad .  
aboard.  abordo .  
abode.  estancia; morada; domicilio; pasadodeabide .  
abolish.  abolir; suprimir; revocar; eliminarabolishment, .  
abolition.  abolici n; supresi n; anulaci n .  
abolitionist.  abolicionista .  
abolla.  capamilitarromana .  
abomasum.  eltercerdeloscuatroest magosdelosrumiantes .  
a-bomb.  bombaat mica .  
abominable.  abominable; detestable .  
abominate.  abominar; detestar .  
abomination.  abominaci n .  
abonnement.  suscripci n .  
aboral.  lejosdelaboca .  
abord.  extraviado; aproximarse .  
aboriginal.  aborigen; ind gena .  
aborigine.  aborigenaustraliano .  
abort.  abortar; cancelar; suspender; abandonar .  
abortifacient.  abortivo .  
abortion.  aborto; fracaso .  
abortionist.  abortista .  
abortive.  abortivo; abortado; malogrado; fallido .  
abound.  abundar .  
about.  alrededorde; acercade; juntoa; por; en; encima; sobre; hacia; aproximadamente; casi; about .  
time.  yaeshora;  .  
about-face.  mediavuelta; tobeall .  
about.  tratarse; tobe .  
about.  estarapunto .  
above.  encima; sobre; arriba; antes; anterior; tobenot .  
above.  sercapaz .  
above-board.  abiertamente; franco; honrado; sincero .  
above-mentioned.  susodicho .  
above-named.  arribamencionado .  
abracadabra.  abracadabra .  
abrade.  desgastar; raspar; raerabraid,abrade, .  
abray.  despertarse .  
abram.  auburn .  
abranchiate.  sinagallas .  
abrasion.  raspadura; abrasi n .  
abrasive.  abrasivo; brusco .  
 .  
abrasiveness.  brusquedad; dureza .  
abreaction.  desaparici ndeunaemoci nreprimidareviviendoeleventoquelacaus .  
abreast.  frente; defrente .  
abr g .  abreviaci n .  
abri.  cavidadenunacolina; refugiar .  
abricock.  apricot .  
abridge.  abreviar; resumir; acortar; privar; despojar .  
abridged.  resumido; abreviado .  
abridgement.  abreviaci n; compendio; resumen; privaci n .  
abroad.  suelto; enlibertad; afuera; enelextranjero; portodaspartes .  
abrogate.  abrogar; anular .  
abrooke.  soportar .  
abrupt.  abrupto; escarpado; brusco; precipitado; s bito; repentino; inconexo .  
abruption.  rotura .  
abruptness.  escabrosidad; brusquedad; precipitaci n .  
abscess.  absceso .  
abscind.  cutoff .  
abscissa.  abcisa .  
abscond.  esconderse; huir; fugarse .  
abseil.  hacerrappel .  
abseiling.  rappel .  
absence.  ausencia; falta; carencia .  
absent.  ausente; distra do; toabsent .  
oneself.  ausentarse .  
absentee.  ausente; absentee .  
ballot.  votoausente .  
absenteeism.  absentismo; costumbredefaltaraltrabajo .  
absent-minded.  distra do; despistadoabsinth, .  
absinthe.  ajenjo; absenta .  
absit.  pasarunanocheausentedelauniversidad .  
absolute.  absoluto; categ rico; autoritario; completo; total; definitivo .  
absolutely.  absolutamente; categ ricamente .  
absolution.  absoluci n .  
absolutism.  absolutismo .  
absolutist.  absolutista .  
absolve.  absolver; perdonar; remitir .  
absonant.  discordante; contrarioalaraz n .  
absorb.  absorber; asimilar; amortiguar; abstraerse; enfrascarse .  
absorbable.  absorbible .  
absorbed.  absorbido; absorto .  
absorbency.  absorbencia .  
absorbent.  absorbente .  
absorber.  absorbente; amortiguador; shock .  
absorber.  amortiguador .  
absorbing.  absorbente; muyinteresante; apasionante .  
absorption.  enfrascamiento; absorci n .  
absquatulate.  largarse .  
abstain.  abstenersede .  
abstainer.  abstemio .  
abstemious.  abstemio; sobrio; templado; deabstinencia .  
abstention.  abstenci n .  
absterge.  limpiarabstinence, .  
abstinency.  abstinencia; sobriedad; templanza .  
abstinent.  abstinente .  
 .  
abstract.  abstracto; resumen; compendio; extracto; sustraer; robar; distraer; resumir .  
abstracted.  distra do .  
abstraction.  distracci n; robo; hurto; retiro; recogimiento; ensimismamiento; abstracci n .  
abstrict.  liberaresporas .  
abstruse.  oculto; dif cildecomprender; rec ndito .  
absurd.  absurdo; insensato .  
absurdity.  absurdo; disparate; locura .  
abthane.  territoriomon sticodelaiglesiacolombiana .  
abulia.  abulia; p rdidadelavoluntad .  
abuna.  patriarcaet ope .  
abundance.  abundancia .  
abundant.  abundante .  
abundantly.  abundancia .  
abuse.  abuso; maltrato; insultos; abusarde; maltratar; denigrar; insultar .  
abusive.  abusivo; injurioso; insultante; ofensivoabuton,upon, .  
against.  confinar; estarcontiguo; lindarcon .  
abutment.  contrafuerte; estribo; linde .  
abutting.  colindante; contiguo .  
abuzz.  comentaraby, .  
abye.  cumplirunapena .  
abysm.  abyss .  
abysmal.  abisal; profundo; insondable; p simo .  
abyss.  abismo; sima .  
abyssal.  abismal; profundo; insondable .  
acacia.  acacia .  
academe.  centrodeerudici n; universidad .  
academic.  acad mico; universitario; te rico; profesordeuniversidad .  
academical.  acad mico; te rico .  
academicals.  trajeodistintivousadoenciertasuniversidades .  
academician.  acad mico .  
academy.  academia; colegio; escuela .  
acalephan.  acalefo; medusa .  
acanthaceous.  acant ceo; d cesedevariasplantasdetalloyramasnudosasyunfrutoquecontienevariassemillassinalbumen .  
acanthopterygian.  acantopterigio; d cesedepecestele steoscasitodosmarinos,cuyasaletas,porlomenoslasimpares,tienenradiosespinososinarticulados,comoelat n,elpezespadayelbesugo .  
acanthus.  acanto .  
acarid.  ac rido .  
acarus.   caro .  
acaulescent.  acaule; d cesedelaplantacuyotalloestancortoqueparecequenolotiene .  
accede.  acceder; asentir; ascender; subir .  
accelerate.  acelerar; apresurar .  
acceleration.  aceleraci n .  
accelerative.  acelerador .  
accelerator.  acelerador .  
accent.  acento; dejo; tonillo; tilde; acentuar; enfatizar .  
accentuate.  acentuar; intensificar; enfatizar; destacar .  
accentuation.  acentuaci n .  
accept.  aceptar; admitir; creer; entender; interpretar; reconocer .  
acceptable.  aceptable; admisible; grato; bienrecibido .  
 .  
acceptance.  aceptaci n; admisi n; buenaacogida .  
acceptation.  acepci n; sentido .  
access.  acceso; aumento; a adidura; acceder .  
accessible.  accesible; asequible; tratable .  
accession.  aumento; subida; agregaci n; asentimiento; entrada .  
accesit.  acc sit; recompensainferiorinmediataalpremioencert menescient ficos,literariosoart sticos .  
accessories.  accesorios .  
accessory.  c mplice; encubridor; inductor; accesorio; adicional .  
accidence.  accidentesgram ticos .  
accident.  accidente; casualidad; percance .  
accidental.  accidental; casual; fortuito; imprevisto; accidente .  
accidentally.  accidentalmente .  
acclaim.  aclamaci n; alabanzas; aclamar; proclamar .  
acclamation.  aclamaci n .  
acclimate.  aclimatar; aclimatarse .  
acclimation.  aclimataci n .  
acclimatization.  aclimataci n .  
acclimatize.  aclimatar; aclimatarse .  
acclivity.  cuesta; pendiente .  
accolade.  espaldarazo; premio; honor; elogioentusiasta; corchete; barra .  
accommodate.  acomodar; ajustar; amoldar; arreglar; reconciliar; proveer; servir; hacerunfavor; hospedar; alojar; conformarse; avenirse; satisfacer .  
accommodating.  servicial; complaciente; amable .  
accommodation.  acomodaci n; adaptaci n; arreglo; conciliaci n; complacencia; servicio; favor; alojamiento; sitio; cabida; comodidades; acuerdo .  
accompaniment.  acompa amiento .  
accompanist.  acompa ante .  
accompany.  acompa ar .  
accomplice.  c mplice .  
accomplish.  hacer; ejecutar; lograr; cumplir; dotar; adornar; llevaracabo; terminar .  
accomplished.  cumplido; perfecto; consumado; culto; instruido; distinguido .  
accomplishment.  haza a; logro; proeza; realizaci n; ejecuci n; cumplimiento; talento; habilidades .  
accord.  acuerdo; concierto; armon a; convenio; acorde; conceder; otorgar; ponerdeacuerdo; conciliar; concordar; ofone'sown .  
accord.  depropiavoluntad .  
accordance.  acuerdo; conformidad .  
accordant.  acorde; conforme; consonante; correspondiente .  
according.  acorde; conforme; arm nico; according .  
to.  seg n .  
accordingly.  enconsecuencia; porlotanto; deacuerdocon .  
accordion.  acorde n .  
accordionist.  acordeonista .  
accost.  abordar; hablar; dirigirse .  
accouchement.  parto .  
account.  cuenta; narraci n; explicaci n; informe; relato; causa; raz n; motivo; importancia; estimar; considerar; juzgaraccount .  
for.  explicar; responderde; justificar .  
accountability.  responsabilidad .  
accountable.  explicable; responsable .  
accountancy.  contabilidad .  
accountant.  contador; peritomercantil; tenedordelibros; contable .  
 .  
accounting.  contabilidad; estadodecuentas; explicaci n; justificaci naccouter, .  
accoutre.  vestir; ataviar; equipar .  
accoutred.  equipado .  
accoutrements.  equipo; av os; arreos .  
accredit.  acreditar; creer; darcr dito; atribuir; imputar .  
accredited.  acreditado; cre do; aceptado .  
accrescent.  acrescente; d cesedelc lizolacorolaquesiguecreciendodespu sdefecundadalaflor .  
accrual.  incremento; acumulaci n .  
accrue.  aumentar; crecer; resultar; provenir .  
accumulate.  acumular; atesorar; aumentar .  
accumulation.  acumulaci n; amontonamiento .  
accumulations.  ahorros .  
accumulative.  acumulativo; acumulado .  
accumulator.  acumulador; amontonador .  
accuracy.  exactitud; correcci n; precisi n; cuidado; esmero .  
accurate.  exacto; preciso; certero; correcto; cuidadoso; fiel .  
accurately.  conprecisi n; conexactitud .  
accurateness.  accuracy .  
accursed.  maldito; infausto; desventurado; afligido .  
accurst.  accursed .  
accusal.  accusation .  
accusation.  acusaci n; denuncia; imputaci n; cargo .  
accusative.  acusativo .  
accusatory.  acusatorio .  
accuse.  acusar; denunciar; culpar; tildar .  
accused.  acusado .  
accuser.  acusador .  
accustom.  acostumbrar .  
accustomed.  acostumbrado; usual .  
ace.  as; punto; tanto; tocomewithinanace .  
of.  estaradosdedosde; ace .  
bandage.  vendael stica .  
acephalous.  ac falo .  
acerb.  acerbo .  
acerbate.  agriar; exasperar .  
acerbic.  acre;  spero .  
acerbity.  aspereza; rigor .  
acescent.  acescente; queseagriaoempiezaaagriarse .  
acetabulum.  acet bulo; cavidaddeunhuesoenqueencajaotro,ysingularmenteladelisquiondondeentralacabezadelf mur; cavidadque,enciertasespeciesanimalescomolastenias,act aamododeventosa .  
acetate.  acetato .  
acetic.  ac tico .  
acetone.  acetona .  
acetose.  acetoso .  
acetylene.  acetileno .  
achaean.  aqueo .  
ache.  dolor; achaque; mal; doler; sufrir; sentirpena; anhelar .  
achene.  aquenio; frutosecoconunasolasemillacomoeldelalechugayelgirasol .  
achieve.  realizar; lograr; triunfar; conseguir; acabar; alcanzar .  
achievement.  realizaci n; ejecuci n; logro; haza a .  
 .  
aching.  dolorido; deseoso; anheloso; dolencia; dolor; pena; anhelo .  
achromatism.  acromatismo .  
acicular.  acicular; defiguradeaguja .  
acid.   cido; acre; mordaz .  
acidity.  acidez; acritud .  
acidness.  acidity .  
acidulate.  acidular .  
acidulous.  ac dulo; ligeramente cido .  
acierate.  acerar .  
acknowledge.  reconocer; agradecer; confesar; admitir; confirmar; saludar; acusarelrecibode .  
acknowledgement.  reconocimiento; confesi n; expresi ndegratitud; saludo; acusederecibo .  
acme.  pin culo; apogeo .  
acne.  acn .  
acolyte.  ac lito .  
acolythate.  acolitado; lasuperiordelascuatro rdenesmenoresdelsacerdocio .  
aconite.  ac nito; plantavivazconpropiedadesmedicinalesquesuelecultivarseenlosjardinescomoadorno .  
acorn.  bellota .  
acotyledonous.  acotiled neo .  
acoustic.  ac stico .  
acoustics.  ac stica .  
acquaint.  informar; conocer .  
acquaintance.  conocimiento; relaci n; personaconocida .  
acquaintanceship.  conocimiento; trato; relaciones .  
acquiesce.  conformidad; consentir; asentir; acceder .  
acquiescence.  conformidad .  
acquiescent.  condescendiente; conforme .  
acquire.  adquirir; contraer .  
acquirement.  adquisici n .  
acquirements.  saber; conocimientos .  
acquisition.  adquisici n .  
acquisitive.  codicioso; consumista .  
acquit.  absolver; pagar; desempe ar; salirairoso; toacquit .  
oneself.  portarse .  
acquittal.  absoluci n; exculpaci n; cumplimiento .  
acquittance.  descargo; recibo; finiquito .  
acre.  acre .  
acreage.  extensi nen reas .  
acrid.  acre .  
acridity.  acritud .  
acrimonious.  amargo; acre; re ido;  spero; mordaz; sarc stico .  
acrimoniousness.  acritud; aspereza; mordacidad .  
acrimony.  acrimoniousness .  
acritude.  acritud .  
acrobat.  acr bata .  
acrobatic.  acrob ticoacrobatics, .  
acrobatism.  acrobacia .  
acromion.  acromio; partesalientedelom plato,conlaquesearticulalaextremidadexternadelaclav cula .  
acronym.  acr nimo .  
acropolis.  acr polis .  
across.  alotroladode; atrav sde; encruz; enparalelo .  
 .  
across-the-board.  generalizado .  
acrostic.  acr stico .  
acroterium.  acrotera; cualquieradelospedestalesquesirvenderemateenlosfrontones,ysobreloscualessuelencolocarseestatuas,macetonesuotrosadornos .  
acrylic.  acr lico .  
act.  acto; n mero; hecho; ley; decreto; actuar; comportarse; hacer; representar; fingir; simularact .  
up.  hacerdelassuyas; funcionarmal .  
acting.  representaci n; interpretaci n; interino; suplente; enfunciones; acci n; efecto .  
actinia.  actinia .  
actinic.  act nico .  
actinism.  actinismo; acci nqu micadelasradiacioneselectromagn ticas,enespeciallasluminosas .  
actinium.  actinio .  
action.  acci n; mecanismo; cierre; demanda .  
actionable.  perseguible .  
activate.  activar .  
active.  vigente; activo; vivaz; vigoroso; en rgico .  
actively.  vivamente .  
activism.  activismo .  
activist.  activista .  
activity.  actividad; agilidad; vigor .  
actor.  actor .  
actress.  actriz .  
actual.  verdadero; real; actual .  
actuality.  realidad .  
actually.  enrealidad; dehecho .  
actuary.  escribano; actuariodeseguros .  
actuate.  actuar; mover; impulsar .  
acuity.  agudeza .  
acumen.  perspicacia; agudeza .  
acuminate.  acuminado; que,disminuyendogradualmente,terminaenpunta .  
acupuncture.  acupuntura .  
acute.  agudo; intenso; grave; perspicaz .  
acute-angled.  acut ngulo .  
acuteness.  agudeza; sutileza; perspicacia .  
ad.  anuncio .  
adage.  adagio; refr n .  
adamant.  piedraimaginariadegrandureza; d cesedeunasustanciaextremadamenteduraoirrompible; inexorable; firme .  
adamantine.  diamantino .  
adapt.  adaptar; adaptarse .  
adaptable.  adaptable; flexible .  
adaptation.  adaptaci n .  
adapter.  adaptador; ladr n .  
adaptor.  adaptador; ladr n .  
add.  a adir; sumar; agregaradd .  
to.  aumentaradd .  
up.  sumar; tenersentido .  
added.  adicional; valueadded .  
tax.  impuestosobreelvalora adido(iva) .  
addend.  sumando .  
addenda.  adici n .  
 .  
addendum.  ap ndice .  
adder.  v bora; culebra .  
addict.  adicto .  
addicted.  adicto .  
addiction.  adicci n; afici n .  
addictive.  adictivoadding .  
machine.  calculadora .  
addition.  adici n; suma .  
additional.  accesorio; adicional .  
additive.  aditivo .  
addle.  embrollar; confundir .  
addled.  podrido; confuso; d bil .  
address.  direcci n; discurso; destinar; dirigirsea; ponerladirecci nen; tratar; toaddressoneself .  
to.  dirigirsea .  
addressee.  destinatario .  
adenoids.  vegetaciones .  
adept.  experto; h bil .  
adequancy.  idoneidad; suficiencia .  
adequate.  adecuado; conveniente; apropiado; suficiente .  
adhere.  adherirse; pegarse .  
adherent.  partidario .  
adhesion.  adhesi n .  
adhesive.  adhesivo; adhesive .  
tape.  cintaadhesiva .  
adit.  socav n; entrada .  
adjacent.  contiguo .  
adjectival.  adjetivo; adjetival .  
adjective.  adjetivo .  
adjoin.  sercontiguo .  
adjoining.  colindante; deallado .  
adjourn.  aplazar; levantar; suspender; terminar .  
adjournment.  pausa; aplazamiento .  
adjudicate.  serjuez; juzgar .  
adjunct.  accesorio .  
adjust.  adaptar; ajustar; regular; modificar .  
adjustable.  regulable .  
adjustment.  ajuste; arreglo; adaptaci n .  
ad-lib.  improvisado; improvisar .  
admin.  administraci n .  
administer.  administrar; gobernar .  
administration.  administraci n; gesti n; gobierno .  
administrative.  administrativo .  
administrator.  administrador .  
admirable.  admirable .  
admiral.  almirante .  
admiralty.  ministeriodelamarina .  
admiration.  admiraci n .  
admire.  admirar .  
admirer.  admirador .  
admissible.  admisible .  
admission.  admisi n; entrada; ingreso; confesi n .  
admit.  confesar; admitir; reconocer; dejarentrar; ingresar; internar .  
 admittance.  admisi n .  
admixture.  mezcla; dosis; adici n .  
admonish.  amonestar .  
admonition.  consejo; advertencia; amonestaci n .  
ado.  ruido; alboroto; dificultad .  
adolescence.  adolescencia .  
adolescent.  adolescente .  
adopt.  adoptar; aprobar .  
adoption.  adopci n .  
adoptive.  adoptivo .  
adorable.  adorable .  
adoration.  adoraci n .  
adore.  adorar .  
adorn.  adornar .  
adornment.  adorno .  
adrenalin.  adrenalina .  
adriatic.  adri tico .  
adrift.  aladeriva .  
adroit.  diestro; h bil .  
adulation.  adulaci n .  
adult.  adulto .  
adulterate.  adulterar .  
adulterer.  ad ltero .  
adulteress.  ad ltera .  
adulterous.  ad ltero .  
adultery.  adulterio .  
adumbration.  anuncio; presagio .  
advance.  adelanto; avance; anticipo; anticipar; avanzar; progresar; haceravanzar; proponer; ayudar; adelantar .  
advanced.  avanzado; superior .  
advancement.  adelanto; avance; ascenso .  
advantage.  ventaja; totakeadvantage .  
of.  aprovecharsede .  
advantageous.  ventajoso .  
advent.  advenimiento; adviento; llegada .  
adventitious.  adventicio .  
adventure.  aventura .  
adventurer.  aventurero .  
adventurous.  aventurero; aventurado; arriesgado .  
adverb.  adverbio .  
adverbial.  adverbial .  
adversary.  adversario; contrincante .  
adverse.  adverso .  
adversity.  adversidad .  
advert.  anuncio .  
advertise.  daraconocer; anunciar .  
advertisement.  anuncio; publicidad .  
advertiser.  anunciante .  
advertising.  publicidad .  
advice.  consejo; asesoramiento; aconsejar; asesorar .  
advisable.  aconsejable; conveniente .  
advise.  aconsejar; asesorar; informar .  
adviser, .  
advisor.  consejero; asesor .  
advisory.  consultivo .  
advocate.  abogado; defensor; partidario; serpartidariode; abogarpor .  
adze.  azuela; herramientadecarpinteroquesirveparadesbastar .  
aegean.  egeo .  
aegis.  tutela .  
aeon.  e n; eternidad .  
aerial.  antenadecoche; et reo; a reo .  
aerie.  eyrie .  
aerobic.  aer bico .  
aerobics.  aerobic .  
aerodrome.  aer dromo .  
aerodynamic.  aerodin mico;  .  
aerodynamics.  aerodin mica .  
aeronautics.  aeron utica .  
aerophagia.  aerofagia .  
aeroplane.  avi n .  
aerosol.  aerosol; spray .  
aerospace.  aerospacial .  
aerostatic.  aerost tico;  .  
aerostatics.  aerost tica .  
aesthetic.  est tico;  .  
aesthetics.  est tica .  
afar.  lejos; alolejos .  
affability.  afabilidad .  
affable.  afable .  
affair.  amor o; aventura; asunto; objeto; cosa .  
affect.  tenerafici n; gustarde; afectar; influiren; fingir .  
affectation.  afectaci n; amaneramiento .  
affected.  afectado; amanerado .  
affection.  afecci n; cari o; afecto .  
affectionate.  cari oso; afectuoso .  
affer.  caballodetiro .  
affidavit.  declaraci njurada .  
affiliate.   .  
afiliado.  asociado; asociar .  
affiliated.  afiliado .  
affiliation.  afiliaci n .  
affinity.  parecido; afinidad; simpat a .  
affirm.  afirmar .  
affirmation.  afirmaci n .  
affirmative.  afirmativo .  
affix.  pegar; poner .  
afflict.  afligir; aquejar .  
affliction.  sufrimiento; dolencia; mal; desgracia .  
affluence.  afluencia; prosperidad; riqueza .  
affluent.  rico; opulento; acomodado; adinerado .  
afford.  proporcionar; permitirse .  
affray.  reyerta; ri a; refriega .  
affright.  asustar; espantar .  
affront.  afrenta; ofensa .  
affronted.  ofendido .  
afghan.  afgano .  
afghan.  mantaochaldelanamuytupida .  
afghanistan.  afganist n .  
 .  
afield.  far .  
afield.  desdemuylejos .  
afire.  ardiendo; tobe .  
afire.  arder; quemar; estarenllamas; anhelarardientemente .  
aflame.  enllamas .  
afloat.  aflote .  
afoot.  enpreparaci n; enmarcha; apie .  
aforementioned.  susodicho; anteriormentecitado .  
aforetime.  antiguamente .  
afoul.  torun .  
afoul.  enredarseconuno .  
afraid.  angustioso; asustado .  
afresh.  denuevo .  
africa.  africa .  
african.  africano .  
aft.  popa; depopa; enlapopa .  
after.  despu sde; alestilode; alcabode; tras; detr s;  .  
afters.  postre .  
afterbirth.  placenta .  
afterburner.  dispositivodeposcombusti n .  
after-effect.  consecuencia .  
afterglow.  sensaci ndebienestar .  
afterlife.  vidaeterna .  
aftermath.  condicionesresultantes; secuelas .  
afternoon.  tardeafter-sales .  
service.  servicioposventa .  
after-shave.  loci nparadespu sdelafeitado .  
aftershock.  r plica .  
aftertaste.  regusto .  
afterthought.  ocurrenciatard a .  
afterwards.  despu s; enseguida; m starde .  
again.  denuevo; otravez .  
against.  contra; encontrade .  
agape.  boquiabierto .  
agarita.  algerita .  
agate.   gata .  
age.  edad; era;  poca; envejecer .  
aged.  anciano; viejo .  
ageless.  siemprejoven; eterno .  
agency.  agencia; departamento .  
agenda.  ordendeld a; agenda; programa .  
agent.  agente; representante .  
ages.  middle .  
ages.  edadmedia .  
agger.  mont culo,especialmenteunohechodemaderaotierraparaprotecci noalg notroprop sitomilitar; cualquierelevaci nsobretodosiesartificial .  
aggravate.  agravar; molestar; irritar .  
aggravating.  irritante; molesto .  
aggravation.  empeoramiento; exasperaci n; irritaci n; problemas .  
aggregate.  conglomerado; total .  
aggression.  agresi n .  
aggressive.  agresivo; conempuje .  
aggressiveness.  agresividad .  
aggressor.  agresor .  
aggrieved.  ofendido; apenado; disgustado .  
aggro.  problemas; rollos .  
 .  
aghast.  espantado; estupefacto; horrorizado .  
agile.   gil .  
agility.  agilidad .  
agin.  again .  
agist.  permitirqueelganadopasteacambiodeunpago .  
agister.  oficialacargodelganadoquepasta .  
agitate.  agitar; hacercampa a; perturbar .  
agitated.  inquieto; nervioso .  
agitation.  agitaci n; inquietud; nerviosismo .  
agitator.  agitador .  
aglow.  encendido; ardiente .  
agnostic.  agn stico .  
agnosticism.  agnosticismo .  
ago.  hace .  
agog.  tobe .  
agog.  estaransioso; sentirunagrancuriosidad .  
agonize.  atormentar; angustiarse .  
agonized.  angustioso .  
agonizing.  angustioso; atroz .  
agony.  dolor; angustia .  
agora.   gora; plazap blicaymercadoenlasciudadesgriegas,asambleaenlaplazap blicadelasciudadesgriegas .  
agouti.  agut ; peque oroedorsudamericano .  
agrarian.  agrario .  
agree.  acordar; concordar; consentir; convenir; estardeacuerdo .  
agreeable.  agradable; complaciente; conforme .  
agreement.  acuerdo; contrato .  
agricultural.  agr cola .  
agriculture.  agricultura .  
agrimony.  agrimonia; plantadelafamiliadelasrosasconfloresamarillasysaboramargo .  
agronomy.  agronom a .  
aground.  torun .  
aground.  encallar .  
ague.  fiebreintermitente; escalofr o .  
ah.  ah .  
ahead.  adelante; delante .  
ahoy.  ship .  
ahoy.  barcoalavista .  
aid.  socorro; ayuda; auxilio; ayudar .  
aide.  hombredeconfianza; ayudante .  
aigrette.  garceta; plumadegarceta; joyas .  
ail.  afligir .  
ailing.  enfermo; achacoso .  
ailment.  dolencia; ataque; enfermedad; achaque .  
aim.  fin; prop sito; meta; punter a; apuntar; lanzar; dirigir; aspirar; pretender; asestar; tenerlaintenci naim .  
at.  apuntar; aspirara; perseguir .  
aimless.  sinobjeto; sinprop sito .  
aimlessly.  sinobjeto; sinrumbofijo .  
air.  aire; tonada; ventilar; airear; toputon .  
airs.  darsetono .  
airborne.  aerotransportado .  
airbrush.  aer grafo .  
air-conditioned.  climatizado .  
air-conditioning.  aireacondicionado .  
 .  
aircraft.  avi n; veh culoa reo .  
airdrome.  aer dromo .  
airfield.  campodeaviaci n .  
airily.  alaligera .  
airing.  excursi n; ventilaci n .  
airless.  malventilado; sinviento; pesado .  
airlift.  puentea reo; transportarporavi n .  
airline.  aerol nea .  
airliner.  avi ndepasajeros .  
airlock.  esclusadeaire; bolsadeaire; burbuja .  
airmail.  correoa reo .  
airman.  aviador .  
airplane.  avi n .  
airport.  aeropuerto .  
air-shaft.  pozodeventilaci n .  
airship.  aer statodirigible .  
airsick.  mareado .  
airsickness.  maldelasalturas .  
